Rank,Name,Points
1,saahilsud,"1,353,710"
2,youdacao,"723,017"
3,ehafner,"700,929"
4,scout326,"662,355"
5,papagates,"600,732"
6,ChipotleAddict,"584,447"
7,Theclone,"427,505"
8,awesemo,"356,707"
9,AssaniFisher,"346,725"
10,aejones,"291,723"
11,draftcheat,"267,235"
12,jae686,"226,350"
13,mbomb44,"209,020"
14,ocdobv,"207,978"
15,AshyL4rry,"204,856"
16,SamENole,"188,958"
17,shawnzhan,"187,262"
18,peteyt,"187,182"
19,csuram88,"184,510"
20,fallfromgrace,"171,085"
21,Dahladino,"170,572"
22,jhorst52,"169,857"
23,BirdWings,"165,485"
24,emitnulB,"164,978"
25,meansy53,"162,427"
26,theseige,"156,006"
27,BigT44,"151,819"
28,squirrelpatrol,"151,533"
29,McJester,"146,655"
30,cubsfan333,"143,510"
31,jakz101,"142,384"
32,shocae,"141,384"
33,boggslite,"138,936"
34,chess_is_ok,"138,860"
35,mavs78,"138,396"
36,bric75,"129,312"
37,condia,"128,455"
38,Troll4MVP,"128,209"
39,DollarBill,"127,206"
40,Rotomania,"127,161"
41,TeeJayOrTJ,"127,009"
42,BRANDONADAMS,"123,729"
43,biggameaims,"123,429"
44,dinkpiece,"121,951"
45,moklovin,"119,905"
46,stlcardinals84,"117,990"
47,Daut44,"116,817"
48,joane27,"114,188"
49,Wining247,"111,976"
50,TinkyTyler,"110,742"
51,gunz4hire,"108,333"
52,garbage9922,"108,052"
53,00oreo00,"107,028"
54,zzzimsleeping,"106,392"
55,MakeItRain84,"106,242"
56,gnightmoon,"103,250"
57,alsmizzle,"102,936"
58,Lowkey,"101,808"
59,Capri,"101,787"
60,drolson22,"99,750"
61,jordanh415,"98,448"
62,BobbyFi,"98,312"
63,windchimesrrude,"98,233"
64,gosixersgo76,"97,755"
65,Kcannon,"97,534"
66,sirmalcolm,"97,284"
67,joekali,"93,941"
68,JL003,"87,230"
69,madoublet98,"87,044"
70,micahj10,"86,458"
