"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17147-9644","SG","James","","Harden","52.97222222222222","18","11300","HOU@GS","HOU","GS","","","",""
"17147-40199","SG","Giannis","","Antetokounmpo","46.493751525878906","16","10300","MIL@BKN","MIL","BKN","","","",""
"17147-9646","SF","Kevin","","Durant","48.26111178927951","18","10200","HOU@GS","GS","HOU","","","",""
"17147-9488","SF","LeBron","","James","46.413334147135416","15","9700","LAC@CLE","CLE","LAC","","","",""
"17147-9524","PG","Stephen","","Curry","40.79444376627604","18","9200","HOU@GS","GS","HOU","","","",""
"17147-9623","PG","Chris","","Paul","41.1368408203125","19","9100","LAC@CLE","LAC","CLE","","","",""
"17147-9560","PF","Blake","","Griffin","40.02222357855903","18","9000","LAC@CLE","LAC","CLE","O","Rest","",""
"17147-12363","C","Hassan","","Whiteside","40.747059541590076","17","8700","MIA@UTA","MIA","UTA","","","",""
"17147-9874","PF","Kevin","","Love","38.36249923706055","16","8300","LAC@CLE","CLE","LAC","","","",""
"17147-14507","PG","Kemba","","Walker","38.57222154405382","18","8000","DAL@CHA","CHA","DAL","","","",""
"17147-15860","PF","Draymond","","Green","36.9058837890625","17","7700","HOU@GS","GS","HOU","","","",""
"17147-12366","SF","Gordon","","Hayward","35.53846153846154","13","7600","MIA@UTA","UTA","MIA","","","",""
"17147-14498","PG","Kyrie","","Irving","34.54999923706055","16","7400","LAC@CLE","CLE","LAC","","","",""
"17147-9575","PG","Mike","","Conley","33.747059541590076","17","7300","ORL@MEM","MEM","ORL","O","Back","",""
"17147-9621","C","Brook","","Lopez","31.5","15","7300","MIL@BKN","BKN","MIL","","","",""
"17147-40203","C","Rudy","","Gobert","30.405263800370065","19","7100","MIA@UTA","UTA","MIA","","","",""
"17147-9561","C","DeAndre","","Jordan","30.36842105263158","19","7000","LAC@CLE","LAC","CLE","","","",""
"17147-9581","C","Marc","","Gasol","32.94117647058823","17","7000","ORL@MEM","MEM","ORL","","","",""
"17147-14514","C","Nikola","","Vucevic","31.238888210720486","18","6900","ORL@MEM","ORL","MEM","","","",""
"17147-9673","PG","Goran","","Dragic","30.1750005086263","12","6800","MIA@UTA","MIA","UTA","","","",""
"17147-12351","PF","Derrick","","Favors","21.990908536044035","11","6500","MIA@UTA","UTA","MIA","O","Knee","",""
"17147-9809","SG","Nicolas","","Batum","29.870587517233457","17","6500","DAL@CHA","CHA","DAL","","","",""
"17147-42550","PF","Jabari","","Parker","30.15625","16","6400","MIL@BKN","MIL","BKN","","","",""
"17147-12443","PG","Jeremy","","Lin","30.460000610351564","5","6300","MIL@BKN","BKN","MIL","O","Hamstring","",""
"17147-9957","PF","Serge","","Ibaka","26.455556233723957","18","6300","ORL@MEM","ORL","MEM","","","",""
"17147-9703","PG","George","","Hill","31.709089799360797","11","6300","MIA@UTA","UTA","MIA","","","",""
"17147-15946","SF","Harrison","","Barnes","29.806249618530273","16","6100","DAL@CHA","DAL","CHA","","","",""
"17147-14509","SG","Klay","","Thompson","27.583333333333332","18","6100","HOU@GS","GS","HOU","","","",""
"17147-55059","C","Clint","","Capela","27.183332655164932","18","5900","HOU@GS","HOU","GS","","","",""
"17147-12350","PF","Trevor","","Booker","28.111764346852024","17","5900","MIL@BKN","BKN","MIL","","","",""
"17147-9500","PF","Dirk","","Nowitzki","23.38000030517578","5","5800","DAL@CHA","DAL","CHA","O","Achilles","",""
"17147-23096","SG","Evan","","Fournier","26.049999660915798","18","5800","ORL@MEM","ORL","MEM","","","",""
"17147-9495","PG","J.J.","","Barea","28.188888549804688","9","5700","DAL@CHA","DAL","CHA","O","Calf","",""
"17147-15520","SG","Sean","","Kilpatrick","24.8647066004136","17","5700","MIL@BKN","BKN","MIL","","","",""
"17147-19138","PG","Elfrid","","Payton","25.755555894639755","18","5700","ORL@MEM","ORL","MEM","GTD","Ankle","",""
"17147-9722","PG","Deron","","Williams","19.125","8","5700","DAL@CHA","DAL","CHA","","","",""
"17147-16220","SG","Dion","","Waiters","25.125","16","5500","MIA@UTA","MIA","UTA","O","Groin","",""
"17147-9579","PF","Zach","","Randolph","25.00666707356771","15","5400","ORL@MEM","MEM","ORL","O","Personal","",""
"17147-15904","SG","Rodney","","Hood","25.200000339084202","18","5300","MIA@UTA","UTA","MIA","GTD","Hamstring","",""
"17147-9538","SF","Trevor","","Ariza","24.922222561306423","18","5200","HOU@GS","HOU","GS","","","",""
"17147-15758","SF","Michael","","Kidd-Gilchrist","23.03529447667739","17","5200","DAL@CHA","CHA","DAL","","","",""
