,Week,Year,Name,Team,Games,Rush Att,Rush Yards,Rush TD,Rec Targets,Rec Comp,Rec Yards,Rec TD,Fantasy PTS,FanPPG
0,1,2015,Carlos Hyde,SF,1,26,168,2,2,2,14,0,30.2,30.2
1,1,2015,Matt Forte,CHI,1,24,141,1,8,5,25,0,22.6,22.6
2,1,2015,Chris Ivory,NYJ,1,20,91,2,1,1,9,0,22,22
3,1,2015,Bishop Sankey,TEN,1,12,74,1,4,2,12,1,20.6,20.6
4,1,2015,Jeremy Hill,CIN,1,19,63,2,0,0,0,0,18.3,18.3
5,1,2015,Danny Woodhead,SD,1,12,42,2,7,4,20,0,18.2,18.2
6,1,2015,Jamaal Charles,KC,1,16,57,0,8,5,46,1,16.3,16.3
7,1,2015,Eddie Lacy,GB,1,19,85,1,3,2,14,0,15.9,15.9
8,1,2015,Ameer Abdullah,DET,1,7,50,1,4,4,44,0,15.4,15.4
9,1,2015,Marcel Reece,OAK,1,0,0,0,4,3,26,2,14.6,14.6
10,1,2015,DeMarco Murray,PHI,1,8,9,1,5,4,11,1,14,14
11,1,2015,DeAngelo Williams,PIT,1,21,127,0,1,1,5,0,13.2,13.2
12,1,2015,Darren Sproles,PHI,1,5,50,0,9,7,76,0,12.6,12.6
13,1,2015,Benny Cunningham,STL,1,16,45,0,7,4,77,0,12.2,12.2
14,1,2015,Mark Ingram,NO,1,9,24,0,9,8,98,0,12.2,12.2
15,1,2015,Alfred Morris,WAS,1,25,121,0,0,0,0,0,12.1,12.1
16,1,2015,Dion Lewis,NE,1,15,69,0,5,4,51,0,12,12
17,1,2015,Andre Ellington,ARI,1,12,69,1,3,1,7,0,11.6,11.6
18,1,2015,David Johnson,ARI,1,0,0,0,2,1,55,1,11.5,11.5
19,1,2015,Karlos Williams,BUF,1,6,55,1,0,0,0,0,11.5,11.5
20,1,2015,Rashad Jennings,NYG,1,13,52,1,0,0,0,0,11.2,11.2
21,1,2015,Joseph Randle,DAL,1,16,65,0,3,3,42,0,10.7,10.7
22,1,2015,Marshawn Lynch,SEA,1,18,73,0,7,5,31,0,10.4,10.4
23,1,2015,Theo Riddick,DET,1,0,0,0,2,2,37,1,9.7,9.7
24,1,2015,Giovani Bernard,CIN,1,8,63,0,6,6,25,0,8.8,8.8
25,1,2015,Ryan Mathews,PHI,1,3,4,1,4,3,24,0,8.8,8.8
26,1,2015,LeSean McCoy,BUF,1,17,41,0,4,3,46,0,8.7,8.7
27,1,2015,Jonathan Stewart,CAR,1,18,56,0,4,4,25,0,8.1,8.1
28,1,2015,Tevin Coleman,ATL,1,20,80,0,0,0,0,0,8,8
29,1,2015,Latavius Murray,OAK,1,11,44,0,7,7,36,0,8,8
30,1,2015,Bilal Powell,NYJ,1,12,62,0,4,2,16,0,7.8,7.8
31,1,2015,Lamar Miller,MIA,1,13,53,0,1,1,22,0,7.5,7.5
32,1,2015,Lance Dunbar,DAL,1,0,0,0,9,8,70,0,7,7
33,1,2015,Khiry Robinson,NO,1,8,19,0,6,5,51,0,7,7
34,1,2015,Will Johnson,PIT,1,4,7,1,0,0,0,0,6.7,6.7
35,1,2015,T.J. Yeldon,JAC,1,12,51,0,4,3,16,0,6.7,6.7
36,1,2015,Anthony Dixon,BUF,1,3,1,1,0,0,0,0,6.1,6.1
37,1,2015,Shane Vereen,NYG,1,3,14,0,5,4,46,0,6,6
38,1,2015,Justin Forsett,BAL,1,14,43,0,7,4,13,0,5.6,5.6
39,1,2015,Doug Martin,TB,1,11,52,0,1,1,2,0,5.4,5.4
40,1,2015,Adrian Peterson,MIN,1,10,31,0,3,3,21,0,5.2,5.2
41,1,2015,Alfred Blue,HOU,1,9,42,0,2,1,7,0,4.9,4.9
42,1,2015,C.J. Anderson,DEN,1,12,29,0,8,4,19,0,4.8,4.8
43,1,2015,Devonta Freeman,ATL,1,10,18,0,4,3,29,0,4.7,4.7
44,1,2015,Melvin Gordon,SD,1,14,51,0,3,3,16,0,4.7,4.7
45,1,2015,Denard Robinson,JAC,1,5,19,0,2,2,26,0,4.5,4.5
46,1,2015,Joique Bell,DET,1,6,14,0,2,2,27,0,4.1,4.1
47,1,2015,Ronnie Hillman,DEN,1,12,41,0,0,0,0,0,4.1,4.1
48,1,2015,Chris Johnson,ARI,1,10,37,0,0,0,0,0,3.7,3.7
49,1,2015,Darren McFadden,DAL,1,6,16,0,1,1,19,0,3.5,3.5
50,1,2015,Charles Sims,TB,1,5,12,0,5,2,23,0,3.5,3.5
51,1,2015,Javorius Allen,BAL,1,9,30,0,1,1,4,0,3.4,3.4
52,1,2015,Isaiah Crowell,CLE,1,12,20,0,2,2,13,0,3.3,3.3
53,1,2015,Matt Asiata,MIN,1,1,4,0,2,2,28,0,3.2,3.2
54,1,2015,Frank Gore,IND,1,8,31,0,3,2,0,0,3.1,3.1
55,1,2015,Chris Polk,HOU,1,5,22,0,1,1,9,0,3.1,3.1
56,1,2015,Jonathan Grimes,HOU,1,6,28,0,2,1,2,0,3,3
57,1,2015,Fred Jackson,SEA,1,3,13,0,1,1,16,0,2.9,2.9
58,1,2015,Knile Davis,KC,1,6,16,0,1,1,12,0,2.8,2.8
59,1,2015,Matt Jones,WAS,1,6,28,0,0,0,0,0,2.8,2.8
60,1,2015,Jerick McKinnon,MIN,1,3,20,0,2,2,8,0,2.8,2.8
